City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,17.11,86,99,5.37,ZA,1678057346
1,hithadhoo,-0.6,73.0833,27.49,73,93,2.06,MV,1678057347
2,ushuaia,-54.8,-68.3,5.81,93,100,3.09,AR,1678057226
3,necochea,-38.5473,-58.7368,26.8,42,0,4.69,AR,1678057350
4,rikitea,-23.1203,-134.9692,26.67,73,100,9.79,PF,1678057351
5,edgewater,28.9889,-80.9023,26.74,78,20,2.57,US,1678057351
6,bluff,-46.6,168.3333,14.89,62,31,1.99,NZ,1678057352
7,guerrero negro,27.9769,-114.0611,15.68,61,99,8.88,MX,1678057352
8,arraial do cabo,-22.9661,-42.0278,24.98,83,75,5.66,BR,1678057353
9,bafra,41.5678,35.9069,12.62,93,100,3.89,TR,1678057354
10,saint george,37.1041,-113.5841,13.47,28,0,6.26,US,1678057200
11,atuona,-9.8,-139.0333,26.91,79,13,6.85,PF,1678057355
12,leningradskiy,69.3833,178.4167,-21.27,95,100,4.29,RU,1678057355
13,san andres,12.5847,-81.7006,29.01,70,20,6.17,CO,1678057356
14,parati,-23.2178,-44.7131,23.91,98,99,2.82,BR,1678057356
15,ndago,-4.6,34.35,17.19,79,86,1.96,TZ,1678057356
16,komsomolskiy,40.4272,71.7189,8.4,76,100,1.03,UZ,1678057357
17,qaanaaq,77.484,-69.3632,-3.36,72,100,2.04,GL,1678057358
18,sao filipe,14.8961,-24.4956,23.01,66,100,3.01,CV,1678057358
19,whitianga,-36.8333,175.7,16.9,91,98,4.59,NZ,1678057359
20,rio gallegos,-51.6226,-69.2181,10.03,76,75,8.75,AR,1678057259
21,cidreira,-30.1811,-50.2056,22.81,90,100,6.56,BR,1678057360
22,taree,-31.9,152.4667,31.7,61,12,2.18,AU,1678057361
23,jamestown,42.097,-79.2353,2.79,85,100,6.17,US,1678057220
24,tezu,27.9167,96.1667,20.73,40,64,1.41,IN,1678057361
25,mataura,-46.1927,168.8643,14.71,49,30,1.66,NZ,1678057362
26,castro,-24.7911,-50.0119,18.1,94,23,1.75,BR,1678057363
27,hobart,-42.8794,147.3294,19.59,74,40,6.69,AU,1678057222
28,portland,45.5234,-122.6762,8.1,79,100,3.09,US,1678057045
29,canmore,51.0834,-115.3521,-8.29,48,100,4.12,CA,1678057271
30,los llanos de aridane,28.6585,-17.9182,15.86,85,0,3.6,ES,1678057364
31,albany,42.6001,-73.9662,4.17,74,90,1.34,US,1678057364
32,miramar,25.9873,-80.2323,28.34,65,0,4.12,US,1678057365
33,tuktoyaktuk,69.4541,-133.0374,-31.0,76,0,1.54,CA,1678057365
34,new norfolk,-42.7826,147.0587,19.4,71,86,3.13,AU,1678057366
35,lavrentiya,65.5833,-171.0,0.18,98,100,6.6,RU,1678057366
36,moranbah,-22.0016,148.0466,25.42,65,10,6.27,AU,1678057366
37,umm kaddadah,13.6017,26.6876,24.05,19,1,5.63,SD,1678057367
38,bredasdorp,-34.5322,20.0403,18.77,84,99,5.05,ZA,1678057368
39,sham churasi,31.4997,75.7494,14.71,47,0,1.12,IN,1678057368
40,colares,38.7992,-9.4469,13.27,90,47,3.58,PT,1678057369
41,edd,13.9297,41.6925,28.08,38,0,8.47,ER,1678057370
42,carnarvon,-24.8667,113.6333,24.83,64,1,8.15,AU,1678057370
43,faanui,-16.4833,-151.75,28.64,72,93,7.98,PF,1678057371
44,puerto ayora,-0.7393,-90.3518,28.98,91,51,1.34,EC,1678057371
45,altagracia de orituco,9.8601,-66.3814,26.01,63,64,3.35,VE,1678057372
46,nikolskoye,59.7035,30.7861,-4.01,99,100,1.16,RU,1678057372
47,mitsamiouli,-11.3847,43.2844,27.55,74,100,5.34,KM,1678057373
48,vallenar,-28.5708,-70.7581,25.24,48,27,2.59,CL,1678057280
49,kudahuvadhoo,2.6708,72.8944,26.83,77,91,4.49,MV,1678057374
50,olafsvik,64.8945,-23.7142,-0.56,62,4,9.77,IS,1678057374
51,muravlenko,63.7898,74.523,-19.84,100,100,4.15,RU,1678057374
52,mega,4.05,38.3,18.62,42,16,8.87,ET,1678057375
53,upernavik,72.7868,-56.1549,-4.41,75,79,1.56,GL,1678057376
54,innisfail,-17.5333,146.0333,24.33,96,100,4.45,AU,1678057376
55,esil,51.9556,66.4042,-3.97,92,68,9.35,KZ,1678057377
56,talnakh,69.4865,88.3972,-26.0,97,100,2.9,RU,1678057377
57,marathon,44.9,-89.7668,5.74,37,40,5.14,US,1678057377
58,busselton,-33.65,115.3333,14.49,85,3,3.26,AU,1678057378
59,port blair,11.6667,92.75,25.61,70,0,3.34,IN,1678057378
60,dikson,73.5069,80.5464,-33.46,99,67,2.18,RU,1678057379
61,chuy,-33.6971,-53.4616,20.15,81,0,3.47,UY,1678057380
62,luderitz,-26.6481,15.1594,16.71,91,0,4.64,NA,1678057380
63,sahuaripa,29.05,-109.2333,28.34,10,10,3.75,MX,1678057283
64,avarua,-21.2078,-159.775,30.03,79,75,7.72,CK,1678057381
65,sitka,57.0531,-135.33,-1.46,54,0,3.36,US,1678057382
66,hilo,19.7297,-155.09,25.71,83,13,2.24,US,1678057206
67,kavieng,-2.5744,150.7967,27.77,71,100,1.3,PG,1678057383
68,kapaa,22.0752,-159.319,25.99,85,63,0.45,US,1678057383
69,iqaluit,63.7506,-68.5145,-4.15,85,100,0.0,CA,1678057383
